Zeitstempel,Do you tend to be more...,Are you more...,Do you prefer...,Do you...,Are you...,Are you...,Do you tend to be more...,Are you more...,Are you mostly...,Do you...,What is your gender?,What is your native language?,How old are you?
2-6-2022 14:48:08,Reflective,Private,A few deep friendships,Dislike parties,Drained by too many people,Happier working in groups,Socially involved,Talkative,An introvert,Think before speaking,female,german,24
6-6-2022 13:23:18,Active,Private,A few deep friendships,Like parties,Energised by others,Happier working in groups,Socially involved,Talkative,An introvert,Think before speaking,male,german,30
7-6-2022 15:13:05,Reflective,Sociable,A few deep friendships,Dislike parties,Drained by too many people,Happier working alone,Socially involved,Talkative,An introvert,Speak before thinking,female,dutch,22
7-6-2022 20:06:11,Reflective,Private,A few deep friendships,Like parties,Drained by too many people,Happier working alone,Socially involved,Talkative,An introvert,Think before speaking,female,french,24
7-6-2022 20:12:24,Reflective,Sociable,A few deep friendships,Like parties,Energised by others,Happier working alone,Socially involved,Talkative,An extravert,Think before speaking,female,spanish,24
8-6-2022 11:06:16,Reflective,Sociable,A few deep friendships,Like parties,Energised by others,Happier working in groups,Socially involved,Talkative,An extravert,Think before speaking,male,english,21
8-6-2022 18:48:02,Reflective,Sociable,A few deep friendships,Like parties,Energised by others,Happier working alone,Socially involved,Talkative,An extravert,Think before speaking,female,dutch,21
18-6-2022 11:52:08,Reflective,Private,A few deep friendships,Dislike parties,Drained by too many people,Happier working alone,Socially detached,Talkative,An introvert,Speak before thinking,male,German,23
19-6-2022 22:05:49,Reflective,Sociable,A few deep friendships,Like parties,Energised by others,Happier working alone,Socially involved,Talkative,An extravert,Think before speaking,female,German,23
19-6-2022 23:09:17,Active,Private,A few deep friendships,Dislike parties,Drained by too many people,Happier working in groups,Socially detached,Reserved,An introvert,Think before speaking,male,German,22
20-6-2022 11:14:11,Reflective,Sociable,A few deep friendships,Like parties,Energised by others,Happier working in groups,Socially involved,Reserved,An introvert,Think before speaking,male,German,21
4-7-2022 14:31:56,Reflective,Private,A few deep friendships,Dislike parties,Drained by too many people,Happier working alone,Socially detached,Reserved,An introvert,Think before speaking,female,German,22
4-7-2022 14:34:33,Reflective,Sociable,A few deep friendships,Dislike parties,Drained by too many people,Happier working in groups,Socially involved,Reserved,An introvert,Think before speaking,female,Arabic,24
13-7-2022 13:28:23,Reflective,Sociable,Having many friends,Like parties,Energised by others,Happier working alone,Socially involved,Talkative,An extravert,Speak before thinking,male,German,23
13-7-2022 13:33:07,Active,Private,A few deep friendships,Dislike parties,Drained by too many people,Happier working in groups,Socially detached,Talkative,An introvert,Think before speaking,male,german,25
13-7-2022 13:37:18,Reflective,Sociable,Having many friends,Like parties,Energised by others,Happier working in groups,Socially involved,Talkative,An introvert,Speak before thinking,male,German,27
13-7-2022 13:41:33,Reflective,Private,A few deep friendships,Like parties,Drained by too many people,Happier working alone,Socially involved,Talkative,An introvert,Speak before thinking,female,German,23
13-7-2022 14:21:22,Reflective,Private,A few deep friendships,Like parties,Drained by too many people,Happier working in groups,Socially detached,Reserved,An introvert,Think before speaking,male,German,26
13-7-2022 14:30:58,Reflective,Sociable,Having many friends,Like parties,Energised by others,Happier working in groups,Socially involved,Talkative,An extravert,Speak before thinking,female,German,22